,Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link
672,American Splendor,"Underground comic book writer Harvey Pekar, portrayed by Paul Giamatti but also appearing as himself, is the subject of this inventive biopic. Much of the film focuses on the eccentric Pekar's day-to-day life in Cleveland, particularly his relationship with his patient wife, Joyce Brabner (played by Hope Davis and also appearing as herself). As Pekar's musings are brought to the screen in this unique and engaging production, the movie playfully incorporates comic book-like panels.", English, 1h 40m," Shari Springer Berman, Robert Pulcini", Ted Hope," Shari Springer Berman, Robert Pulcini","['Paul Giamatti', 'Harvey', 'Harvey Pekar', 'Self', 'Shari Springer Berman', 'Interviewer Voice', 'Earl Billings', 'Mr. Boats', 'James Urbaniak', 'Robert Crumb', 'Judah Friedlander', 'Toby Radloff']", Fine Line Features," Good Machine, HBO Films", $6.0M,94%,86%,187," Biography, Comedy, Drama"," Aug 15, 2003  Wide"," Mar 21, 2016",https://www.rottentomatoes.com/m/american_splendor
673,Jackie 2016,"After her husband's assassination, Jackie Kennedy's (Natalie Portman) world is completely shattered. Traumatized and reeling with grief, over the course of the next week she must confront the unimaginable: consoling their two young children, vacating the home she painstakingly restored, and planning her husband's funeral. Jackie quickly realizes that the next seven days will determine how history will define her husband's legacy - and how she herself will be remembered.", English, 1h 39m, Pablo Larraín," Juan de Dios Larraín, Darren Aronofsky, Mickey Liddell, Scott Franklin, Ari Handel", Noah Oppenheim,"['Natalie Portman', 'Jackie Kennedy', 'Peter Sarsgaard', 'Bobby Kennedy', 'Greta Gerwig', 'Nancy Tuckerman', 'Billy Crudup', 'The Journalist', 'John Hurt', 'The Priest', 'Richard E. Grant', 'Bill Walton']", Fox Searchlight," Protozoa Pictures, Why Not Productions, LD Entertainment", $14.0M,88%,60%,365," History, Drama, Biography"," Jan 27, 2017  Wide"," Feb 21, 2017",https://www.rottentomatoes.com/m/jackie_2016
674,Confessions Of A Dangerous Mind,"Game show television producer Chuck Barris (Sam Rockwell) is at the height of his career. His creation, ""The Dating Game,"" is one of the network's top shows and he has just been given the post of hosting his latest brainchild, ""The Gong Show."" But what the public and industry big-wigs are unaware of is that Chuck Barris, game show pioneer, is also a covert assassin. He works for the C.I.A. and claims to have killed 33 people.", English, 1h 53m, George Clooney, Andrew Lazar," Chuck Barris, Charlie Kaufman","['Sam Rockwell', 'Chuck Barris', 'Drew Barrymore', 'Penny', 'George Clooney', 'CIA Agent Jim Byrd', 'Julia Roberts', 'Patricia', 'Rutger Hauer', 'Keeler', 'Maggie Gyllenhaal', 'Debbie']", Miramax Films," Mad Chance, Section Eight Ltd.", $16.0M,80%,75%,165," Biography, Comedy, Drama"," Jan 17, 2003  Wide"," Nov 7, 2016",https://www.rottentomatoes.com/m/confessions_of_a_dangerous_mind
675,Christine 2016,"In Sarasota, Fla., circa 1974, an ambitious, 29-year-old reporter is relentlessly motivated to succeed. She knows she has talent, but being a driven career woman in the '70s comes with its own challenges, especially when competition for a promotion and a tumultuous home life lead to a dissolution of self. With ratings in the cellar, the station manager issues a mandate to deliver juicier and more exploitative stories, a story firmly at odds with her serious brand of issue-based journalism.", English, 1h 59m, Antonio Campos," Melody Roscher, Craig Shilowich", Craig Shilowich,"['Rebecca Hall', 'Christine Chubbuck', 'Michael C. Hall', 'George Ryan', 'Tracy Letts', 'Michael', 'Maria Dizzia', 'Jean Reed', 'J. Smith-Cameron', 'Peg Chubbuck', 'John Cullum', 'Bob Andersen']", The Orchard," The Orchard, Borderline Films, Great Point Media, Fresh Jade", $298.5K,88%,71%,130," Biography, Drama"," Oct 14, 2016  Limited"," Jan 10, 2017",https://www.rottentomatoes.com/m/christine_2016
676,In The Name Of The Father,"Unemployed young Irishman Gerry Conlon (Daniel Day-Lewis) gets by as a petty thief in 1970s Belfast. When local IRA leaders get fed up with him, he flees to England and meets up with his friend Paul Hill (John Lynch). On the same night that the IRA bombs a nearby pub, the friends get kicked out of their communal digs and are forced to sleep in a park. He returns to Belfast, but is arrested as the prime suspect in the bombing and imprisoned, where he spends 15 years trying to clear his name.", English, 2h 12m, Jim Sheridan, Jim Sheridan," Terry George, Jim Sheridan","['Daniel Day-Lewis', 'Gerry Conlon', 'Pete Postlethwaite', 'Giuseppe Conlon', 'Emma Thompson', 'Gareth Peirce', 'John Lynch', 'Paul Hill', 'Corin Redgrave', 'Robert Dixon', 'Beatie Edney', 'Carole Richardson']"," Argentina Video Home, Universal Pictures"," Universal Pictures, Hell's Kitchen Films", $24.6M,94%,95%,50," Biography, Crime, Drama"," Dec 12, 1993  Original"," Sep 10, 2015",https://www.rottentomatoes.com/m/in_the_name_of_the_father
677,Fair-Game-2010,"Wife and mother Valerie Plame (Naomi Watts) has a double life as a CIA operative, hiding her vocation from family and friends. Her husband, Joseph Wilson (Sean Penn), writes a controversial article in The New York Times, refuting stories about the sale of enriched uranium to Iraq, Then Valerie's secret work and identity is leaked to the press. With her cover blown and other people endangered, Valerie's career and personal life begin to unravel.", English, 1h 47m, Doug Liman," Bill Pohlad, Janet Zucker, Jerry Zucker, Akiva Goldsman, Doug Liman, Jez Butterworth"," Jez Butterworth, John-Henry Butterworth","['Naomi Watts', 'Valerie Plame', 'Sean Penn', 'Joseph Wilson', 'Sam Shepard', 'Sam Plame', 'Ty Burrell', 'Fred', 'David Andrews', 'Scooter Libby', 'Brooke Smith', 'Diana']", Summit Entertainment," Zucker Productions, River Road, Hypnotic, Weed Road Pictures", $9.5M,79%,65%,177," Mystery & thriller, Drama, Biography"," Nov 19, 2010  Wide"," Dec 17, 2015",https://www.rottentomatoes.com/m/fair-game-2010
678,Grizzly Man,"Pieced together from Timothy Treadwell's actual video footage, Werner Herzog's remarkable documentary examines the calling that drove Treadwell to live among a tribe of wild grizzly bears on an Alaskan reserve. A devoted conservationist with a passion for adventure, Timothy believed he had bridged the gap between human and beast. When one of the bears he loved and protected tragically turns on him, the footage he shot serves as a window into our understanding of nature and its grim realities.", English, 1h 43m, Werner Herzog, Erik Nelson, Werner Herzog,"['Werner Herzog', 'Narrator', 'Jewel Palovak', 'Warren Queeney', 'Carol Dexter', 'Val Dexter', 'Sam Egli']", Lionsgate Films, Lions Gate Entertainment, $3.2M,92%,85%,146," Documentary, Biography"," Aug 12, 2005  Original"," Apr 1, 2012",https://www.rottentomatoes.com/m/grizzly_man
679,The Last King Of Scotland,"While in Uganda on a medical mission, Scottish doctor Nicholas Garrigan (James McAvoy) becomes the personal physician and close confidante of dictator Idi Amin (Forest Whitaker). Although at first Dr. Garrigan feels flattered by his new position of power, he soon comes to realize that Amin's rule is soaked in blood, and that he is complicit in the atrocities. Garrigan faces the fight of his life as he tries to escape Amin's grasp.", English, 2h 1m, Kevin Macdonald," Lisa Bryer, Andrea Calderwood, Charles Steel"," Peter Morgan, Jeremy Brock","['Forest Whitaker', 'Idi Amin', 'James McAvoy', 'Nicholas Garrigan', 'Kerry Washington', 'Kay Amin', 'Gillian Anderson', 'Sara Merrit', 'Simon McBurney', 'Stone', 'David Oyelowo', 'Dr. Junju']", Fox," DNA Films, FilmFour, Fox Searchlight", $17.6M,87%,89%,183," Biography, Drama"," Jan 19, 2007  Wide"," Dec 12, 2015",https://www.rottentomatoes.com/m/the_last_king_of_scotland
680,Boys Dont Cry,"Young female-to-male transgender Brandon Teena (Hilary Swank) leaves his hometown under threat when his ex-girlfriend's brother discovers that he's biologically female. Resettling in the small town of Falls City, Nebraska, Brandon falls for Lana (Chloë Sevigny), an aspiring singer, and begins to plan for their future together. But when her ex-convict friends, John (Peter Sarsgaard) and Tom (Brendan Sexton III), learn Brandon's secret, things change very quickly.", English, 1h 59m, Kimberly Peirce," John Hart, Eva Kolodner, Jeff Sharp, Christine Vachon"," Kimberly Peirce, Andy Bienen","['Hilary Swank', 'Teena Brandon, Brandon Teena', 'Chloë Sevigny', 'Lana Tisdel', 'Peter Sarsgaard', 'John Lotter', 'Brendan Sexton III', 'Tom Nissen', 'Alison Folland', 'Kate', 'Alicia Goranson', 'Candace']"," Fox, 20th Century Fox Home Entertainment"," Independent Film Channel, Hart-Sharp Entertainment, Killer Films", $11.5M,90%,87%,84," Biography, Drama, Lgbtq+"," Sep 2, 1999  Original"," Mar 1, 2013",https://www.rottentomatoes.com/m/boys_dont_cry
681,A Private War,"Celebrated war correspondent Marie Colvin is a woman who is as comfortable downing martinis with high society's elite as she is brazenly staring down warlords and fleeing from gunfire. Driven by an enduring desire to bear witness and give voice to the voiceless, Colvin charges into danger, constantly testing the limits between bravery and bravado.", English, 1h 50m, Matthew Heineman," Basil Iwanyk, Marissa McMahon, Matthew George, Matthew Heineman, Charlize Theron", Arash Amel,"['Rosamund Pike', 'Marie Colvin', 'Jamie Dornan', 'Paul Conroy', 'Tom Hollander', 'Sean Ryan', 'Stanley Tucci', 'Tony Shaw', 'Jérémie Laheurte', 'Remi Ochlik', 'Hilton McRae', 'Adam Watkins']", Aviron Pictures," Denver and Delilah Productions, Kamala Films, Savvy Media Holdings, Thunder Road Pictures", $1.6M,88%,62%,147," Biography, Drama, War"," Nov 16, 2018  Wide"," Feb 5, 2019",https://www.rottentomatoes.com/m/a_private_war
682,Judy 2019,"Thirty years after starring in ""The Wizard of Oz,"" beloved actress and singer Judy Garland arrives in London to perform sold-out shows at the Talk of the Town nightclub. While there, she reminisces with friends and fans and begins a whirlwind romance with musician Mickey Deans, her soon-to-be fifth husband.", English, 1h 58m, Rupert Goold, David Livingstone, Tom Edge,"['Renée Zellweger', 'Judy Garland', 'Jessie Buckley', 'Rosalyn Wilder', 'Finn Wittrock', 'Mickey Deans', 'Rufus Sewell', 'Sid Luft', 'Gemma-Leah Devereux', 'Liza Minnelli', 'Michael Gambon', 'Bernard Delfont']"," LD Entertainment, Roadside Attractions"," Roadside Attractions, BBC Films", $24.3M,82%,85%,351," Biography, History, Drama, Music"," Sep 27, 2019  Wide"," Sep 27, 2019",https://www.rottentomatoes.com/m/judy_2019
683,My Friend Dahmer,"The true, haunting story of young Jeffrey Dahmer -- the shy adolescent in high school who becomes a notorious serial killer years later.", English, 1h 47m, Marc Meyers," Jody Girgenti, Marc Meyers, Adam Goldworm, Michael Merlob, Milan Chakraborty", Marc Meyers,"['Ross Lynch', 'Jeffrey Dahmer', 'Alex Wolff', 'Derf', 'Anne Heche', 'Joyce Dahmer', 'Dallas Roberts', 'Lionel Dahmer', 'Miles Robbins', 'Lloyd Figg', 'Vincent Kartheiser', 'Dr. Matthews']", FilmRise," Ibid Filmworks, Attic Light Films, Aperture Entertainment", $1.3M,86%,61%,105," Biography, Drama"," Nov 3, 2017  Limited"," Feb 6, 2018",https://www.rottentomatoes.com/m/my_friend_dahmer
684,1152019-Good Night And Good Luck,"When Senator Joseph McCarthy begins his foolhardy campaign to root out Communists in America, CBS News impresario Edward R. Murrow (David Strathairn) dedicates himself to exposing the atrocities being committed by McCarthy's Senate ""investigation."" Murrow is supported by a news team that includes long-time friend and producer Fred Friendly (George Clooney). The CBS team does its best to point out the senator's lies and excesses, despite pressure from CBS' corporate sponsors to desist.", English, 1h 33m, George Clooney, Grant Heslov," George Clooney, Grant Heslov","['David Strathairn', 'Edward R. Murrow', 'Patricia Clarkson', 'Shirley Wershba', 'George Clooney', 'Fred Friendly', 'Jeff Daniels', 'Sig Mickelson', 'Robert Downey Jr.', 'Joe Wershba', 'Frank Langella', 'William Paley']", Warner Independent," 2929 Productions, Metropolitan, Warner Independent Pictures, Section Eight Ltd.", $31.5M,93%,83%,227," History, Drama, Biography"," Oct 7, 2005  Original"," Jan 9, 2009",https://www.rottentomatoes.com/m/1152019-good_night_and_good_luck
685,Ray,"Legendary soul musician Ray Charles is portrayed by Jamie Foxx in this Oscar-winning biopic. Young Ray watches his 7-year-old brother drown at age seven. When he loses his sight at the age of 9, his hardworking mother (Sharon Warren) urges him not to feel sorry for himself. He rises through the ranks of the Seattle jazz scene, struggling with drug addiction and infidelity while on the road. Supported by his wife (Kerry Washington), Ray Charles redefines soul music and inspires a generation.", English, 2h 35m, Taylor Hackford," Howard Baldwin, Stuart Benjamin, Taylor Hackford, Karen Elise Baldwin"," Robert Eisele, James L. White","['Jamie Foxx', 'Ray Charles', 'Kerry Washington', 'Della Bea Robinson', 'Regina King', 'Margie Hendricks', 'Clifton Powell', 'Jeff Brown', 'Aunjanue Ellis-Taylor', 'Mary Ann Fisher', 'Harry Lennix', 'Joe Adams']", Universal Pictures," Crusader Entertainment LLC, Unchain My Heart Louisiana", $75.3M,79%,87%,204," Biography, History, Drama, Music"," Oct 29, 2004  Wide"," Apr 19, 2016",https://www.rottentomatoes.com/m/ray
686,Three Identical Strangers,"Identical triplets become separated at birth and adopted by three different families. Years later, their amazing reunion becomes a global sensation but also unearths an unimaginable secret that has radical repercussions.", English, 1h 36m, Tim Wardle," Grace Hughes-Hallett, Becky Read", Grace Hughes-Hallett,"['Robert Shafran', 'David Kellman', 'Lawrence Wright', 'Will Ennis', 'Scotty Murray', 'Silvi Alzetta-Reali']"," Neon, CNN Films", Raw, $12.3M,96%,88%,190," Documentary, Biography, Drama, History, Mystery & thriller"," Jun 29, 2018  Limited"," Oct 2, 2018",https://www.rottentomatoes.com/m/three_identical_strangers
687,Im Not There Suppositions On A Film Concerning Dylan,"Several actors portray legendary singer-songwriter Bob Dylan at different stages in his personal life and career. In 1959 a guitar-strumming youth (Marcus Carl Franklin) rides the rails, calling himself ""Guthrie."" Then a man named Jack (Christian Bale) emerges in New York's Greenwich Village, followed by ""Robbie (Heath Ledger),"" Jude (Cate Blanchett) and other personalities.", English, 2h 15m, Todd Haynes," James D. Stern, John Sloss, John Goldwyn, Christine Vachon"," Todd Haynes, Oren Moverman","['Christian Bale', 'Jack, Pastor John', 'Cate Blanchett', 'Jude', 'Marcus Carl Franklin', 'Woody', 'Richard Gere', 'Billy', 'Heath Ledger', 'Robbie', 'Ben Whishaw', 'Arthur']", Weinstein Co.," VIP 4 Medienfonds, Endgame Entertainment, John Wells Productions, Killer Films", $4.0M,77%,69%,162," Biography, Drama"," Nov 21, 2007  Limited"," Aug 10, 2016",https://www.rottentomatoes.com/m/im_not_there_suppositions_on_a_film_concerning_dylan
688,Invictus,"Following the fall of apartheid, newly elected President Nelson Mandela (Morgan Freeman) faces a South Africa that is racially and economically divided. Believing he can unite his countrymen through the universal language of sport, Mandela joins forces with Francois Pienaar (Matt Damon), captain of the rugby team, to rally South Africans behind a bid for the 1995 World Cup Championship.", English, 2h 14m, Clint Eastwood," Clint Eastwood, Lori McCreary, Robert Lorenz, Mace Neufeld", Anthony Peckham,"['Morgan Freeman', 'Nelson Mandela', 'Matt Damon', 'Francois Pienaar', 'Tony Kgoroge', 'Jason Tshabalala', 'Patrick Mofokeng', 'Linga Moonsamy', 'Matt Stern', 'Hendrick Booyens', 'Julian Lewis Jones', 'Etienne Feyder']", Warner Bros.," Malpaso Company, Revelations Entertainment, Mace Neufeld Productions", $37.5M,76%,75%,245," Drama, Biography"," Dec 11, 2009  Limited"," Oct 23, 2011",https://www.rottentomatoes.com/m/invictus
