Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link,All Genres
Crimson Peak,"After marrying the charming and seductive Sir Thomas Sharpe, young Edith (Mia Wasikowska) finds herself swept away to his remote gothic mansion in the English hills. Also living there is Lady Lucille, Thomas' alluring sister and protector of her family's dark secrets. Able to communicate with the dead, Edith tries to decipher the mystery behind the ghostly visions that haunt her new home. As she comes closer to the truth, Edith may learn that true monsters are made of flesh and blood.",Eng,119,Guillermo del Toro,"Thomas Tull, Jon Jashni, Guillermo del Toro, Callum Greene","Guillermo del Toro, Matthew Robbins","['Mia Wasikowska', 'Edith Cushing', 'Jessica Chastain', 'Lucille Sharpe', 'Tom Hiddleston', 'Thomas Sharpe', 'Charlie Hunnam', 'Dr. Alan McMichael', 'Jim Beaver', 'Carter Cushing', 'Burn Gorman', 'Holly']",Universal Pictures,"Legendary Pictures, DDY",31100000.0,0.73,0.56,285,Horror,"Oct 16, 2015  Wide","Sep 6, 2016",https://www.rottentomatoes.com/m/crimson_peak,"Horror, Mystery & thriller, Romance"
Enough Said 2013,"Eva (Julia Louis-Dreyfus), a divorced single parent, seems generally happy but dreads her daughter's departure for college. Unexpectedly, Eva begins a romance with Albert (James Gandolfini), a nice man with whom she has much in common. Meanwhile, Eva finds a new friend in Marianne (Catherine Keener), a poet who is just about perfect except for one thing: She constantly denigrates her ex-husband -- Albert. The more Eva hears, the more she doubts her relationship with him.",Eng,93,Nicole Holofcener,"Anthony Bregman, Stefanie Azpiazu",Nicole Holofcener,"['Julia Louis-Dreyfus', 'Eva', 'James Gandolfini', 'Albert', 'Catherine Keener', 'Marianne', 'Toni Collette', 'Sarah', 'Tavi Gevinson', 'Chloe', 'Ben Falcone', 'Will']",Fox Searchlight,Likely Story,17500000.0,0.95,0.75,195,Romance,"Sep 18, 2013  Limited","Jun 1, 2015",https://www.rottentomatoes.com/m/enough_said_2013,"Romance, Comedy"
Interview With The Vampire,"Born as an 18th-century lord, Louis is now a bicentennial vampire, telling his story to an eager biographer. Suicidal after the death of his family, he meets Lestat, a vampire who persuades him to choose immortality over death and become his companion. Eventually, gentle Louis resolves to leave his violent maker, but Lestat guilts him into staying by turning a young girl -- whose addition to the ""family"" breeds even more conflict.",Eng,122,Neil Jordan,"David Geffen, Stephen Woolley",Anne Rice,"['Tom Cruise', 'Lestat de Lioncourt', 'Brad Pitt', 'Louis de Pointe du Lac', 'Antonio Banderas', 'Armand', 'Stephen Rea', 'Santiago', 'Christian Slater', 'Daniel Malloy', 'Kirsten Dunst', 'Claudia']","Warner Bros., Warner Home Vídeo",Geffen Pictures,104700000.0,0.63,0.86,60,Horror,"Nov 11, 1994  Wide","Aug 15, 2008",https://www.rottentomatoes.com/m/interview_with_the_vampire,"Horror, Drama, Romance"
Dirty Dancing,"Baby (Jennifer Grey) is one listless summer away from the Peace Corps. Hoping to enjoy her youth while it lasts, she's disappointed when her summer plans deposit her at a sleepy resort in the Catskills with her parents. Her luck turns around, however, when the resort's dance instructor, Johnny (Patrick Swayze), enlists Baby as his new partner, and the two fall in love. Baby's father forbids her from seeing Johnny, but she's determined to help him perform the last big dance of the summer.",Eng,100,Emile Ardolino,Linda Gottlieb,Eleanor Bergstein,"['Jennifer Grey', 'Frances ""Baby"" Houseman', 'Patrick Swayze', 'Johnny Castle', 'Jerry Orbach', 'Jake Houseman', 'Cynthia Rhodes', 'Penny Johnson', 'Jack Weston', 'Max Kellerman', 'Jane Brucker', 'Lisa Houseman']",Artisan Entertainment,Vestron Pictures,486300.0,0.72,0.9,79,Romance,"Aug 25, 1987  Wide","Dec 17, 2015",https://www.rottentomatoes.com/m/dirty_dancing,"Romance, Drama"
Words On Bathroom Walls,"Diagnosed with a mental illness during his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to open his heart and not be defined by his condition.",Eng,111,Thor Freudenthal,"Mickey Liddell, Pete Shilaimon",Nick Naveda,"['Charlie Plummer', 'Adam', 'Taylor Russell', 'Maya Arnez', 'Andy Garcia', 'Father Patrick', 'AnnaSophia Robb', 'Rebecca', 'Beth Grant', 'Sister Catherine', 'Devon Bostick', 'Joaquin']","LD Entertainment, Roadside Attractions",LD Entertainment,2500000.0,0.89,0.94,94,Romance,"Aug 21, 2020  Wide","Nov 8, 2020",https://www.rottentomatoes.com/m/words_on_bathroom_walls,"Romance, Drama"
1031086-Ghost,"Sam Wheat (Patrick Swayze) is a banker, Molly Jensen (Demi Moore) is an artist, and the two are madly in love. However, when Sam is murdered by friend and corrupt business partner Carl Bruner (Tony Goldwyn) over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown (Whoopi Goldberg) to set things right and protect Molly from Carl and his goons.",Eng,127,Jerry Zucker,Lisa Weinstein,Bruce Joel Rubin,"['Patrick Swayze', 'Sam Wheat', 'Demi Moore', 'Molly Jensen', 'Whoopi Goldberg', 'Oda Mae Brown', 'Tony Goldwyn', 'Carl Bruner', 'Rick Aviles', 'Willie Lopez, Burgler', 'Gail Boggs', ""Oda Mae's Sister""]",Paramount Pictures,Paramount Pictures,214300000.0,0.75,0.8,79,Fantasy,"Jul 13, 1990  Original","Aug 1, 2013",https://www.rottentomatoes.com/m/1031086-ghost,"Fantasy, Romance"
Say Anything,"In a charming, critically acclaimed tale of first love, Lloyd (John Cusack), an eternal optimist, seeks to capture the heart of Diane (Ione Skye), an unattainable high-school beauty and straight-A student. It surprises just about everyone when she returns the sentiment. But Diane's overly possessive, divorced father (John Mahoney) doesn't approve and it will take more than the power of love to conquer all.",Eng,100,Cameron Crowe,Polly Platt,Cameron Crowe,"['John Cusack', 'Lloyd Dobler', 'Ione Skye', 'Diane Court', 'John Mahoney', 'James Court', 'Lili Taylor', 'Corey Flood', 'Amy Brooks', 'D.C.', 'Pamela Adlon', 'Rebecca']",20th Century Fox,"Twentieth Century Fox, Gracie Films",20000000.0,0.98,0.85,49,Romance,"Apr 14, 1989  Wide","Nov 25, 2015",https://www.rottentomatoes.com/m/say_anything,Romance
Jerry Maguire,"When slick sports agent Jerry Maguire (Tom Cruise) has a crisis of conscience, he pens a heartfelt company-wide memo that promptly gets him fired. Desperate to hang on to the athletes that he represents, Jerry starts his own management firm, with only single mother Dorothy Boyd (Renee Zellweger) joining him in his new venture. Banking on their sole client, football player Rod Tidwell (Cuba Gooding Jr.), Jerry and Dorothy begin to fall in love as they struggle to make their business work.",Eng,138,Cameron Crowe,"Richard Sakai, Laurence Mark, Cameron Crowe, James L. Brooks",Cameron Crowe,"['Tom Cruise', 'Jerry Maguire', 'Cuba Gooding Jr.', 'Rod Tidwell', 'Renée Zellweger', 'Dorothy Boyd', 'Kelly Preston', 'Avery Bishop', ""Jerry O'Connell"", 'Frank Cushman', 'Jay Mohr', 'Bob Sugar']","Columbia Tristar, TriStar Pictures, Columbia TriStar Home Video",TriStar Pictures,153600000.0,0.84,0.79,90,Romance,"Dec 11, 1996  Wide","Nov 1, 2012",https://www.rottentomatoes.com/m/jerry_maguire,"Romance, Comedy"
The Souvenir,"A shy film student begins finding her voice as an artist while navigating a turbulent courtship with a charismatic but untrustworthy man. She defies her protective mother and concerned friends as she slips deeper and deeper into an intense, emotionally fraught relationship which comes dangerously close to destroying her dreams.",Eng,119,Joanna Hogg,"Joanna Hogg, Luke Schiller",Joanna Hogg,"['Honor Swinton Byrne', 'Julie', 'Tom Burke', 'Anthony', 'Tilda Swinton', 'Rosalind', 'Richard Ayoade', 'Patrick', 'Tosin Cole', 'Phil', 'Jack McMullen', 'Jack']",A24,"BBC Films, BFI Film Fund, Sikelia Productions",1000000.0,0.89,0.36,186,Romance,"May 17, 2019  Limited","Jul 30, 2019",https://www.rottentomatoes.com/m/the_souvenir,"Romance, Drama"
Warm Bodies,"A terrible plague has left the planet's population divided between zombies and humans. An unusual zombie named R (Nicholas Hoult) sees his walking-dead brethren attacking a living woman named Julie (Teresa Palmer) and rescues her. Julie sees that R is different from the other zombies, and the pair embark on an unusual relationship. As their bond grows and R becomes more and more human, a chain of events unfolds that could transform the entire lifeless world.",Eng,98,Jonathan Levine,"Bruna Papandrea, David Hoberman, Todd Lieberman",Jonathan Levine,"['Nicholas Hoult', 'R', 'Teresa Palmer', 'Julie', 'John Malkovich', 'Gen. Grigio', 'Rob Corddry', 'M', 'Dave Franco', 'Perry', 'Lio Tipton', 'Nora']",Summit Entertainment,"Make Movies, Mandeville Pictures",66400000.00000001,0.81,0.73,213,Romance,"Feb 1, 2013  Wide","Dec 19, 2015",https://www.rottentomatoes.com/m/warm_bodies,"Romance, Comedy, Horror"
Bridget Jones Diary,"At the start of the New Year, 32-year-old Bridget (Renée Zellweger) decides it's time to take control of her life -- and start keeping a diary. Now, the most provocative, erotic and hysterical book on her bedside table is the one she's writing. With a taste for adventure, and an opinion on every subject - from exercise to men to food to sex and everything in between - she's turning the page on a whole new life.",Eng,92,Sharon Maguire,"Tim Bevan, Jonathan Cavendish, Eric Fellner","Richard Curtis, Andrew Davies, Helen Fielding","['Renée Zellweger', 'Bridget Jones', 'Colin Firth', 'Mark Darcy', 'Hugh Grant', 'Daniel Cleaver', 'Gemma Jones', 'Pam Jones', 'Jim Broadbent', 'Colin Jones', 'Embeth Davidtz', 'Natasha']","Universal Pictures, Miramax Films","Columbia, Universal Pictures, Miramax",71500000.0,0.8,0.81,162,Romance,"Apr 13, 2001  Wide","Apr 21, 2016",https://www.rottentomatoes.com/m/bridget_jones_diary,"Romance, Comedy"
English Patient,"The sweeping expanses of the Sahara are the setting for a passionate love affair in this adaptation of Michael Ondaatje's novel. A badly burned man, Laszlo de Almasy (Ralph Fiennes), is tended to by a nurse, Hana (Juliette Binoche), in an Italian monastery near the end of World War II. His past is revealed through flashbacks involving a married Englishwoman (Kristin Scott Thomas) and his work mapping the African landscape. Hana learns to heal her own scars as she helps the dying man.",Eng,162,Anthony Minghella,Saul Zaentz,"Michael Ondaatje, Anthony Minghella","['Ralph Fiennes', 'Count Laszlo de Almásy', 'Juliette Binoche', 'Hana', 'Willem Dafoe', 'David Caravaggio', 'Kristin Scott Thomas', 'Katharine Clifton', 'Naveen Andrews', 'Lt. Kip Singh', 'Colin Firth', 'Geoffrey Clifton']",Miramax Films,"Miramax Films, J&M Entertainment",78700000.0,0.86,0.83,94,Drama,"Nov 6, 1996  Original","Nov 30, 2016",https://www.rottentomatoes.com/m/english_patient,"Drama, Romance"
About A Boy,"A comedy-drama starring Hugh Grant as Will, a rich, child-free and irresponsible Londoner in his thirties who, in search of available women, invents an imaginary son and starts attending single parent meetings. As a result of one of his liaisons, he meets Marcus, an odd 12-year-old boy with problems at school. Gradually, Will and Marcus become friends, and as Will teaches Marcus how to be a cool kid, Marcus helps Will to finally grow up.",Eng,100,"Chris Weitz, Paul Weitz","Jane Rosenthal, Robert De Niro, Brad Epstein, Tim Bevan, Eric Fellner","Peter Hedges, Chris Weitz, Paul Weitz, Nick Hornby","['Hugh Grant', 'Will', 'Rachel Weisz', 'Rachel', 'Toni Collette', 'Fiona', 'Nicholas Hoult', 'Marcus', 'Isabel Brook', 'Angie', 'Sharon Small', 'Christine']",Universal Pictures,Tribeca Productions,40600000.0,0.93,0.55,185,Comedy,"May 17, 2002  Wide","Apr 19, 2016",https://www.rottentomatoes.com/m/about_a_boy,"Comedy, Drama, Romance"
Knocked Up,"Rising journalist Alison Scott (Katherine Heigl) hits a serious bump in the road after a one-night stand with irresponsible slacker Ben Stone (Seth Rogen) results in pregnancy. Rather than raise the baby on her own, she decides to give Ben a chance to prove he is father material. However, he is unsure if he is ready to be a parent, and both wonder if they would be compatible lifetime partners.",Eng,129,Judd Apatow,"Judd Apatow, Shauna Robertson, Clayton Townsend",Judd Apatow,"['Seth Rogen', 'Ben Stone', 'Katherine Heigl', 'Alison Scott', 'Paul Rudd', 'Pete', 'Leslie Mann', 'Debbie', 'Jay Baruchel', 'Jay', 'Jonah Hill', 'Jonah']",Universal Pictures,"Apatow Productions, Universal Pictures",148700000.0,0.89,0.83,253,Romance,"Jun 1, 2007  Wide","Jun 15, 2012",https://www.rottentomatoes.com/m/knocked_up,"Romance, Comedy"
Sleepless In Seattle,"After the death of his wife, Sam Baldwin (Tom Hanks) moves to Seattle with his son, Jonah (Ross Malinger). When Jonah calls in to a talk-radio program to find a new wife for his father, Sam grudgingly gets on the line to discuss his feelings. Annie Reed (Meg Ryan), a reporter in Baltimore, hears Sam speak and falls for him, even though she is engaged. Unsure where it will lead, she writes Sam a letter asking him to meet her at the Empire State Building on Valentine's Day.",Eng,104,Nora Ephron,Gary Foster,"Nora Ephron, David S. Ward, Jeff Arch","['Tom Hanks', 'Sam Baldwin', 'Meg Ryan', 'Annie Reed', 'Bill Pullman', 'Walter', 'Ross Malinger', 'Jonah Baldwin', ""Rosie O'Donnell"", 'Becky', 'Rob Reiner', 'Jay']",Columbia Tristar,TriStar Pictures,125600000.0,0.75,0.75,61,Romance,"Jun 25, 1993  Wide","Apr 16, 2012",https://www.rottentomatoes.com/m/sleepless_in_seattle,"Romance, Comedy"
If Beale Street Could Talk,"In early 1970s Harlem, daughter and wife-to-be Tish vividly recalls the passion, respect and trust that have connected her and her artist fiancé Alonzo Hunt, who goes by the nickname Fonny. Friends since childhood, the devoted couple dream of a future together, but their plans are derailed when Fonny is arrested for a crime he did not commit.",Eng,119,Barry Jenkins,"Adele Romanski, Sara Murphy, Barry Jenkins, Dede Gardner, Jeremy Kleiner",Barry Jenkins,"['KiKi Layne', 'Tish Rivers', 'Stephan James', 'Alonzo ""Fonny"" Hunt', 'Regina King', 'Sharon Rivers', 'Colman Domingo', 'Joseph Rivers', 'Teyonah Parris', 'Ernestine Rivers', 'Michael Beach', 'Frank Hunt']",Annapurna Pictures,"Pastel, Annapurna Pictures, Plan B Entertainment",14900000.0,0.95,0.68,365,Drama,"Jan 11, 2019  Wide","Mar 12, 2019",https://www.rottentomatoes.com/m/if_beale_street_could_talk,"Drama, Romance"
1095420-High Fidelity,"Rob Gordon (John Cusack) is the owner of a failing record store in Chicago, where he sells music the old-fashioned way -- on vinyl. Although they have an encyclopedic knowledge of pop music and are consumed by the music scene, it's of no help to Rob, whose needle skips the love groove when his long-time girlfriend, Laura (Iben Hjejle), walks out on him. As he examines his failed attempts at romance and happiness, the process finds him being dragged, kicking and screaming, into adulthood.",Eng,113,Stephen Frears,"Tim Bevan, Rudd Simmons","Nick Hornby, D.V. DeVincentis, Steve Pink, John Cusack, Scott Rosenberg","['John Cusack', 'Rob', 'Iben Hjejle', 'Laura', 'Todd Louiso', 'Dick', 'Jack Black', 'Barry', 'Lisa Bonet', 'Marie DeSalle', 'Catherine Zeta-Jones', 'Charlie Nicholson']",Touchstone Pictures,"Touchstone Pictures, New Crime Productions, Dogstar Films",27300000.0,0.91,0.9,165,Romance,"Mar 31, 2000  Wide","Sep 23, 2016",https://www.rottentomatoes.com/m/1095420-high_fidelity,"Romance, Comedy"
1174278-Definitely Maybe,"Will Hayes (Ryan Reynolds), a thirtysomething Manhattanite, is in the middle of divorce proceedings when his young daughter (Abigail Breslin) asks him about his life before marriage, including how he met and fell in love with her mother. Will flashes back to 1992 and recounts his romances with three women, changing their names so that his daughter must guess which one became his wife.",Eng,112,Adam Brooks,"Tim Bevan, Eric Fellner",Adam Brooks,"['Ryan Reynolds', 'Will Hayes', 'Isla Fisher', 'April', 'Abigail Breslin', 'Maya Hayes', 'Rachel Weisz', 'Summer Hartley', 'Derek Luke', 'Russell T. McCormack', 'Elizabeth Banks', 'Emily']",Universal Pictures,Working Title Films,32000000.0,0.71,0.72,148,Romance,"Feb 14, 2008  Wide","Jun 15, 2012",https://www.rottentomatoes.com/m/1174278-definitely_maybe,"Romance, Comedy, Drama"
Monsters Ball,"Hank, an embittered racist prison guard working on death row, begins an unlikely, emotionally charged sexual relationship with Leticia, a Black woman and wife of a man sentenced to death. The affair begins just after Hank oversees the capital punishment of Leticia's husband.",Eng,111,Marc Forster,Lee Daniels,"Milo Addica, Will Rokos","['Halle Berry', 'Leticia Musgrove', 'Billy Bob Thornton', 'Hank Grotowski', 'Heath Ledger', 'Sonny Grotowski', 'Peter Boyle', 'Buck Grotowski', 'Diddy', 'Lawrence Musgrove', 'Yasiin Bey', 'Ryrus Cooper']",Lionsgate Films,"Lee Daniels Entertainment, Lions Gate Films",31300000.0,0.85,0.67,142,Drama,"Dec 26, 2001  Wide","Dec 19, 2015",https://www.rottentomatoes.com/m/monsters_ball,"Drama, Romance"
