,Title,Synopsis,Original Language,Runtime,Director,Writer,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link
239,Sicario Day Of The Soldado,"FBI agent Matt Graver calls on mysterious operative Alejandro Gillick when Mexican drug cartels start to smuggle terrorists across the U.S. border. The war escalates even further when Alejandro kidnaps a top kingpin's daughter to deliberately increase the tensions. When the young girl is seen as collateral damage, the two men will determine her fate as they question everything that they are fighting for.", English, 2h 2m, Stefano Sollima, Taylor Sheridan,"['Benicio del Toro', 'Alejandro', 'Josh Brolin', 'Matt Graver', 'Isabela Merced', 'Isabel Reyes', 'Jeffrey Donovan', 'Steve Forsing', 'Catherine Keener', 'Cynthia Foards', 'Manuel Garcia-Rulfo', 'Gallo']",62%,65%,293," Mystery & thriller, Action, Crime, Drama",https://www.rottentomatoes.com/m/sicario_day_of_the_soldado
240,Spider Man Far From Home,"Peter Parker's relaxing European vacation takes an unexpected turn when Nick Fury shows up in his hotel room to recruit him for a mission. The world is in danger as four massive elemental creatures -- each representing Earth, air, water and fire -- emerge from a hole torn in the universe. Parker soon finds himself donning the Spider-Man suit to help Fury and fellow superhero Mysterio stop the evil entities from wreaking havoc across the continent.", English, 2h 9m, Jon Watts," Chris McKenna, Erik Sommers","['Tom Holland', 'Peter Parker, Spider-Man', 'Samuel L. Jackson', 'Nick Fury', 'Jake Gyllenhaal', 'Quentin Beck, Mysterio', 'Marisa Tomei', 'May Parker', 'Jon Favreau', 'Happy Hogan', 'Zendaya', 'MJ']",90%,95%,460," Action, Adventure, Fantasy, Comedy",https://www.rottentomatoes.com/m/spider_man_far_from_home
241,Rogue One A Star Wars Story,"Former scientist Galen Erso lives on a farm with his wife and young daughter, Jyn. His peaceful existence comes crashing down when the evil Orson Krennic takes him away from his beloved family. Many years later, Galen becomes the Empire's lead engineer for the most powerful weapon in the galaxy, the Death Star. Knowing that her father holds the key to its destruction, Jyn joins forces with a spy and other resistance fighters to steal the space station's plans for the Rebel Alliance.", English, 2h 14m, Gareth Edwards," Chris Weitz, Tony Gilroy","['Felicity Jones', 'Jyn Erso', 'Diego Luna', 'Cassian Andor', 'Alan Tudyk', 'K-2SO', 'Donnie Yen', 'Chirrut Îmwe', 'Wen Jiang', 'Baze Malbus', 'Ben Mendelsohn', 'Orson Krennic']",84%,87%,463," Sci-fi, Adventure, Action, Fantasy",https://www.rottentomatoes.com/m/rogue_one_a_star_wars_story
242,300,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.", English, 1h 57m, Zack Snyder," Zack Snyder, Kurt Johnstad, Michael B. Gordon","['Gerard Butler', 'King Leonidas', 'Lena Headey', 'Queen Gorgo', 'David Wenham', 'Dilios', 'Dominic West', 'Theron', 'Rodrigo Santoro', 'Xerxes', 'Vincent Regan', 'Captain']",61%,89%,236," Action, Adventure, Drama",https://www.rottentomatoes.com/m/300
243,Jurassic Park,"In Steven Spielberg's massive blockbuster, paleontologists Alan Grant (Sam Neill) and Ellie Sattler (Laura Dern) and mathematician Ian Malcolm (Jeff Goldblum) are among a select group chosen to tour an island theme park populated by dinosaurs created from prehistoric DNA. While the park's mastermind, billionaire John Hammond (Richard Attenborough), assures everyone that the facility is safe, they find out otherwise when various ferocious predators break free and go on the hunt.", English, 2h 6m, Steven Spielberg," Michael Crichton, Michael Crichton, David Koepp, Malia Scotch Marmo","['Sam Neill', 'Dr. Alan Grant', 'Laura Dern', 'Dr. Ellie Sattler', 'Jeff Goldblum', 'Dr. Ian Malcolm', 'Richard Attenborough', 'John Hammond', 'Bob Peck', 'Robert Muldoon', 'Martin Ferrero', 'Donald Gennaro']",91%,91%,141," Adventure, Action, Sci-fi, Mystery & thriller",https://www.rottentomatoes.com/m/jurassic_park
244,Other Guys,"Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble (Will Ferrell) and Hoitz (Mark Wahlberg) garner no headlines as they work day to day. Gamble relishes his job as a paper pusher, but Hoitz is itching to get back on the street and make a name for himself. When a seemingly minor case turns out to be a big deal, the two cops get the opportunity to finally prove to their comrades that they have the right stuff.", English, 1h 47m, Adam McKay," Adam McKay, Chris Henchy","['Will Ferrell', 'Det. Allen Gamble', 'Mark Wahlberg', 'Det. Terry Hoitz', 'Eva Mendes', 'Sheila Gamble', 'Michael Keaton', 'Capt. Gene Mauch', 'Steve Coogan', 'David Ershon', 'Ray Stevenson', 'Wesley']",79%,60%,211," Comedy, Action",https://www.rottentomatoes.com/m/other_guys
245,Watchmen,"In an alternate 1985 America, costumed superheroes are part of everyday life. When one of his former comrades is murdered, masked vigilante Rorschach (Jackie Earle Haley) uncovers a plot to kill and discredit all past and present superheroes. As he reconnects with his retired associates, only one of which has true powers, Rorschach glimpses a far-reaching conspiracy involving their shared past and catastrophic consequences for the world's future.", English, 2h 43m, Zack Snyder," David Hayter, Alex Tse","['Billy Crudup', 'Jon Osterman, Dr. Manhattan', 'Malin Akerman', 'Laurie Jupiter, Silk Spectre II', 'Jackie Earle Haley', 'Walter Kovacs, Rorschach', 'Matthew Goode', 'Adrian Veidt, Ozymandias', 'Patrick Wilson', 'Dan Dreiberg, Nite Owl II', 'Jeffrey Dean Morgan', 'Edward Blake, The Comedian']",65%,71%,311," Action, Adventure, Fantasy",https://www.rottentomatoes.com/m/watchmen
246,Captain America The Winter Soldier 2014,"After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in the nation's capital as he tries to adjust to modern times. An attack on a S.H.I.E.L.D. colleague throws Rogers into a web of intrigue that places the whole world at risk. Joining forces with the Black Widow (Scarlett Johansson) and a new ally, the Falcon, Rogers struggles to expose an ever-widening conspiracy, but he and his team soon come up against an unexpected enemy.", English, 2h 15m," Anthony Russo, Joe Russo"," Christopher Markus, Stephen McFeely","['Chris Evans', 'Steve Rogers, Captain America', 'Scarlett Johansson', 'Natasha Romanoff, Black Widow', 'Samuel L. Jackson', 'Nick Fury', 'Sebastian Stan', 'Bucky Barnes, Winter Soldier', 'Robert Redford', 'Agent Alexander Pierce', 'Anthony Mackie', 'Sam Wilson, Falcon']",90%,92%,312," Action, Adventure, Fantasy",https://www.rottentomatoes.com/m/captain_america_the_winter_soldier_2014
247,Black Panther 2018,"After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place as king. When a powerful enemy suddenly reappears, T'Challa's mettle as king -- and as Black Panther -- gets tested when he's drawn into a conflict that puts the fate of Wakanda and the entire world at risk. Faced with treachery and danger, the young king must rally his allies and release the full power of Black Panther to defeat his foes and secure the safety of his people.", English, 2h 14m, Ryan Coogler," Ryan Coogler, Joe Robert Cole","['Chadwick Boseman', ""T'Challa, Black Panther"", 'Michael B. Jordan', 'Erik Killmonger', ""Lupita Nyong'o"", 'Nakia', 'Danai Gurira', 'Okoye', 'Martin Freeman', 'Everett K. Ross', 'Daniel Kaluuya', ""W'Kabi""]",96%,79%,531," Action, Adventure, Fantasy",https://www.rottentomatoes.com/m/black_panther_2018
248,Scott Pilgrims Vs The World,"As bass guitarist for a garage-rock band, Scott Pilgrim (Michael Cera) has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers (Mary Elizabeth Winstead) skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.", English, 1h 52m, Edgar Wright," Michael Bacall, Edgar Wright","['Michael Cera', 'Scott Pilgrim', 'Mary Elizabeth Winstead', 'Ramona Flowers', 'Kieran Culkin', 'Wallace Wells', 'Chris Evans', 'Lucas Lee', 'Anna Kendrick', 'Stacey', 'Brie Larson', 'Envy Adams']",82%,84%,273," Romance, Comedy, Action",https://www.rottentomatoes.com/m/scott_pilgrims_vs_the_world
249,Fast And Furious Presents Hobbs And Shaw,"Brixton Lorr is a cybernetically enhanced soldier who possesses superhuman strength, a brilliant mind and a lethal pathogen that could wipe out half of the world's population. It's now up to hulking lawman Luke Hobbs and lawless operative Deckard Shaw to put aside their past differences and work together to prevent the seemingly indestructible Lorr from destroying humanity.", English, 2h 18m, David Leitch," Chris Morgan, Drew Pearce","['Dwayne Johnson', 'Hobbs', 'Jason Statham', 'Shaw', 'Idris Elba', 'Brixton', 'Vanessa Kirby', 'Hattie', 'Helen Mirren', 'Queenie', 'Eiza González', 'Madam M']",67%,88%,344," Action, Adventure, Comedy",https://www.rottentomatoes.com/m/fast_and_furious_presents_hobbs_and_shaw
250,Apocalypto,"The Mayan kingdom is at the height of its opulence and power but the foundations of the empire are beginning to crumble. The leaders believe they must build more temples and sacrifice more people or their crops and citizens will die. Jaguar Paw (Rudy Youngblood), a peaceful hunter in a remote tribe, is captured along with his entire village in a raid. He is scheduled for a ritual sacrifice until he makes a daring escape and tries to make it back to his pregnant wife and son.", Unknown language, 2h 17m, Mel Gibson," Mel Gibson, Farhad Safinia","['Rudy Youngblood', 'Jaguar Paw', 'Raoul Max Trujillo', 'Zero Wolf', 'Dalia Hernández', 'Seven', 'Gerardo Taracena', 'Middle Eye', 'Jonathan Brewer', 'Blunted', 'Fernando Hernandez', 'High Priest']",65%,79%,202," Adventure, Action",https://www.rottentomatoes.com/m/apocalypto
251,The Hunger Games Catching Fire,"After arriving safely home from their unprecedented victory in the 74th Annual Hunger Games, Katniss Everdeen (Jennifer Lawrence) and Peeta Mellark (Josh Hutcherson) discover that they must do a quick turnaround and begin a Victors Tour. As she and Peeta travel throughout the districts, Katniss senses a rebellion is stirring. However, President Snow (Donald Sutherland) proves that he is still very much in control when word comes of a cruel change in the rules for the upcoming 75th Hunger Games.", English, 2h 26m, Francis Lawrence," Simon Beaufoy, Michael Arndt","['Jennifer Lawrence', 'Katniss Everdeen', 'Josh Hutcherson', 'Peeta Mellark', 'Liam Hemsworth', 'Gale Hawthorne', 'Woody Harrelson', 'Haymitch Abernathy', 'Elizabeth Banks', 'Effie Trinket', 'Lenny Kravitz', 'Cinna']",90%,89%,295," Sci-fi, Action, Adventure",https://www.rottentomatoes.com/m/the_hunger_games_catching_fire
252,Mission Impossible Rogue Nation,"With the IMF now disbanded and Ethan Hunt (Tom Cruise) out in the cold, a new threat -- called the Syndicate -- soon emerges. The Syndicate is a network of highly skilled operatives who are dedicated to establishing a new world order via an escalating series of terrorist attacks. Faced with what may be the most impossible mission yet, Ethan gathers his team and joins forces with Ilsa Faust (Rebecca Ferguson), a disavowed British agent who may or may not be a member of this deadly rogue nation.", English, 2h 11m, Christopher McQuarrie, Christopher McQuarrie,"['Tom Cruise', 'Ethan Hunt', 'Jeremy Renner', 'William Brandt', 'Simon Pegg', 'Benji Dunn', 'Rebecca Ferguson', 'Ilsa Faust', 'Ving Rhames', 'Luther Stickell', 'Sean Harris', 'Lane']",94%,87%,328," Action, Adventure, Mystery & thriller",https://www.rottentomatoes.com/m/mission_impossible_rogue_nation
253,Avengers Age Of Ultron,"When Tony Stark (Robert Downey Jr.) jump-starts a dormant peacekeeping program, things go terribly awry, forcing him, Thor (Chris Hemsworth), the Incredible Hulk (Mark Ruffalo) and the rest of the Avengers to reassemble. As the fate of Earth hangs in the balance, the team is put to the ultimate test as they battle Ultron, a technological terror hell-bent on human extinction. Along the way, they encounter two mysterious and powerful newcomers, Pietro and Wanda Maximoff.", English, 2h 21m, Joss Whedon, Joss Whedon,"['Robert Downey Jr.', 'Tony Stark, Iron Man', 'Chris Hemsworth', 'Thor', 'Mark Ruffalo', 'Bruce Banner, The Hulk', 'Chris Evans', 'Steve Rogers, Captain America', 'Scarlett Johansson', 'Natasha Romanoff, The Black Widow', 'Jeremy Renner', 'Clint Barton, Hawkeye']",76%,82%,378," Action, Adventure, Fantasy, Sci-fi",https://www.rottentomatoes.com/m/avengers_age_of_ultron
254,Guardians Of The Galaxy,"Brash space adventurer Peter Quill (Chris Pratt) finds himself the quarry of relentless bounty hunters after he steals an orb coveted by Ronan, a powerful villain. To evade Ronan, Quill is forced into an uneasy truce with four disparate misfits: gun-toting Rocket Raccoon, treelike-humanoid Groot, enigmatic Gamora, and vengeance-driven Drax the Destroyer. But when he discovers the orb's true power and the cosmic threat it poses, Quill must rally his ragtag group to save the universe.", English, 2h 1m, James Gunn," James Gunn, Nicole Perlman","['Chris Pratt', 'Peter Quill', 'Zoe Saldana', 'Gamora', 'Dave Bautista', 'Drax the Destroyer', 'Vin Diesel', 'Groot Voice', 'Bradley Cooper', 'Rocket Voice', 'Lee Pace', 'Ronan the Accuser']",92%,92%,340," Sci-fi, Adventure, Action, Fantasy, Comedy",https://www.rottentomatoes.com/m/guardians_of_the_galaxy
255,Ghostbusters 2016,"Paranormal researcher Abby Yates (Melissa McCarthy) and physicist Erin Gilbert are trying to prove that ghosts exist in modern society. When strange apparitions appear in Manhattan, Gilbert and Yates turn to engineer Jillian Holtzmann for help. Also joining the team is Patty Tolan, a lifelong New Yorker who knows the city inside and out. Armed with proton packs and plenty of attitude, the four women prepare for an epic battle as more than 1,000 mischievous ghouls descend on Times Square.", English, 1h 57m, Paul Feig," Katie Dippold, Paul Feig","['Melissa McCarthy', 'Abby Yates', 'Kristen Wiig', 'Erin Gilbert', 'Leslie Jones', 'Patty Tolan', 'Kate McKinnon', 'Jillian Holtzmann', 'Charles Dance', 'Harold Filmore', 'Michael Kenneth Williams', 'Agent Hawkins']",74%,49%,394," Comedy, Fantasy, Adventure, Action",https://www.rottentomatoes.com/m/ghostbusters_2016
256,Casino Royale,"After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers a link to Le Chiffre (Mads Mikkelsen), a man who finances terrorist organizations. Learning that Le Chiffre plans to raise money in a high-stakes poker game, MI6 sends Bond to play against him, gambling that their newest ""00"" operative will topple the man's organization.", English, 2h 24m, Martin Campbell," Neal Purvis, Robert Wade, Anthony Waye, Ian Fleming","['Daniel Craig', 'James Bond', 'Eva Green', 'Vesper Lynd', 'Mads Mikkelsen', 'Le Chiffre', 'Judi Dench', 'M', 'Caterina Murino', 'Solange', 'Simon Abkarian', 'Dimitrios']",94%,90%,267," Action, Adventure, Mystery & thriller",https://www.rottentomatoes.com/m/casino_royale
257,Captain America Civil War,"Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The new status quo deeply divides members of the team. Captain America (Chris Evans) believes superheroes should remain free to defend humanity without government interference. Iron Man (Robert Downey Jr.) sharply disagrees and supports oversight. As the debate escalates into an all-out feud, Black Widow (Scarlett Johansson) and Hawkeye (Jeremy Renner) must pick a side.", English, 2h 26m," Anthony Russo, Joe Russo"," Christopher Markus, Stephen McFeely","['Chris Evans', 'Steve Rogers, Captain America', 'Robert Downey Jr.', 'Tony Stark, Iron Man', 'Scarlett Johansson', 'Natasha Romanoff, Black Widow', 'Sebastian Stan', 'Bucky Barnes, Winter Soldier', 'Anthony Mackie', 'Sam Wilson, Falcon', 'Don Cheadle', 'James Rhodes, War Machine']",90%,89%,431," Action, Adventure, Fantasy",https://www.rottentomatoes.com/m/captain_america_civil_war
